Date;Close;Open;High;Low;Volume;Adj Close
09/12/2018;94.80;95.10;95.28;94.73;;94.80
09/11/2018;95.25;95.15;95.35;94.88;;95.25
09/10/2018;95.15;95.43;95.56;95.03;;95.15
09/07/2018;95.36;95.02;95.46;94.87;;95.36
09/06/2018;95.02;95.10;95.21;94.93;;95.02
09/05/2018;95.18;95.40;95.66;95.08;;95.18
09/04/2018;95.44;95.14;95.74;95.14;;95.44
09/03/2018;95.14;95.19;95.22;95.01;;95.14
08/31/2018;95.14;94.70;95.22;94.55;;95.14
08/30/2018;94.72;94.53;94.90;94.47;;94.72
08/29/2018;94.60;94.73;94.93;94.53;;94.60
08/28/2018;94.72;94.77;94.91;94.43;;94.72
08/27/2018;94.78;95.17;95.30;94.69;;94.78
08/24/2018;95.15;95.64;95.69;95.03;;95.15
08/23/2018;95.67;95.17;95.71;95.15;;95.67
08/22/2018;95.15;95.21;95.38;94.93;;95.15
08/21/2018;95.26;95.74;95.75;95.08;;95.26
08/20/2018;95.90;96.13;96.40;95.73;;95.90
08/17/2018;96.10;96.61;96.66;96.09;;96.10
08/16/2018;96.64;96.72;96.77;96.32;;96.64
08/15/2018;96.70;96.66;96.98;96.65;;96.70
08/14/2018;96.73;96.33;96.79;96.14;;96.73
08/13/2018;96.39;96.32;96.52;96.16;;96.39
08/10/2018;96.36;95.64;96.45;95.53;;96.36
08/09/2018;95.50;95.10;95.62;95.03;;95.50
08/08/2018;95.05;95.14;95.42;94.99;;95.05
08/07/2018;95.22;95.34;95.37;94.99;;95.22
08/06/2018;95.36;95.20;95.52;95.20;;95.36
08/03/2018;95.14;95.18;95.37;94.98;;95.14
08/02/2018;95.16;94.63;95.19;94.61;;95.16
08/01/2018;94.62;94.56;94.71;94.49;;94.62
07/31/2018;94.49;94.33;94.57;94.16;;94.49
07/30/2018;94.32;94.66;94.76;94.26;;94.32
07/27/2018;94.67;94.76;94.91;94.63;;94.67
07/26/2018;94.75;94.16;94.80;94.08;;94.75
07/25/2018;94.36;94.59;94.67;94.14;;94.36
07/24/2018;94.61;94.67;94.86;94.40;;94.61
07/23/2018;94.67;94.43;94.72;94.21;;94.67
07/20/2018;94.45;95.13;95.28;94.36;;94.45
07/19/2018;95.15;95.08;95.65;94.93;;95.15
07/18/2018;95.08;95.03;95.41;94.96;;95.08
07/17/2018;94.94;94.55;95.06;94.30;;94.94
07/16/2018;94.51;94.69;94.77;94.41;;94.51
07/13/2018;94.75;94.89;95.24;94.67;;94.75
07/12/2018;94.81;94.70;94.94;94.64;;94.81
07/11/2018;94.72;94.20;94.77;94.09;;94.72
07/10/2018;94.15;94.06;94.47;94.02;;94.15
07/09/2018;94.08;93.97;94.21;93.71;;94.08
07/06/2018;94.04;94.36;94.49;93.92;;94.04
07/05/2018;94.47;94.51;94.59;94.18;;94.47
07/04/2018;94.67;94.52;94.71;94.40;;94.67
07/03/2018;94.67;94.84;94.98;94.56;;94.67
07/02/2018;95.03;94.63;95.14;94.53;;95.03
06/29/2018;94.64;95.30;95.32;94.47;;94.64
06/28/2018;95.39;95.27;95.53;95.09;;95.39
06/27/2018;95.27;94.67;95.42;94.53;;95.27
06/26/2018;94.66;94.29;94.77;94.17;;94.66
06/25/2018;94.28;94.50;94.70;94.21;;94.28
06/22/2018;94.52;94.86;94.88;94.43;;94.52
06/21/2018;94.74;95.13;95.53;94.68;;94.74
06/20/2018;95.06;94.97;95.30;94.92;;95.06
06/19/2018;95.08;94.63;95.30;94.53;;95.08
06/18/2018;94.80;94.79;95.05;94.70;;94.80
06/15/2018;94.79;94.91;95.13;94.65;;94.79
06/14/2018;94.77;93.50;94.93;93.19;;94.77
06/13/2018;93.71;93.83;94.03;93.52;;93.71
06/12/2018;93.80;93.67;93.91;93.47;;93.80
06/11/2018;93.58;93.54;93.68;93.37;;93.58
06/08/2018;93.55;93.44;93.82;93.39;;93.55
06/07/2018;93.40;93.58;93.59;93.21;;93.40
06/06/2018;93.66;93.88;93.89;93.42;;93.66
06/05/2018;93.90;94.06;94.32;93.78;;93.90
06/04/2018;94.02;94.16;94.19;93.66;;94.02
06/01/2018;94.19;93.95;94.45;93.88;;94.19
05/31/2018;93.98;94.07;94.25;93.72;;93.98
05/30/2018;94.15;94.82;94.97;94.04;;94.15
05/29/2018;94.83;94.41;95.03;94.28;;94.83
05/28/2018;94.19;94.25;94.50;93.86;;94.19
05/25/2018;94.19;93.80;94.30;93.75;;94.19
05/24/2018;93.76;93.90;93.98;93.61;;93.76
05/23/2018;94.00;93.55;94.19;93.51;;94.00
05/22/2018;93.61;93.54;93.73;93.29;;93.61
05/21/2018;93.68;93.69;94.06;93.51;;93.68
05/18/2018;93.64;93.50;93.83;93.34;;93.64
05/17/2018;93.47;93.26;93.56;93.12;;93.47
05/16/2018;93.39;93.31;93.63;93.14;;93.39
05/15/2018;93.22;92.65;93.46;92.61;;93.22
05/14/2018;92.59;92.55;92.69;92.24;;92.59
05/11/2018;92.54;92.69;92.84;92.37;;92.54
05/10/2018;92.65;93.08;93.16;92.54;;92.65
05/09/2018;93.04;93.05;93.42;92.84;;93.04
05/08/2018;93.12;92.73;93.28;92.65;;93.12
05/07/2018;92.75;92.57;92.97;92.45;;92.75
05/04/2018;92.57;92.43;92.90;92.35;;92.57
05/03/2018;92.41;92.72;92.76;92.34;;92.41
05/02/2018;92.51;92.47;92.83;92.22;;92.51
05/01/2018;92.45;91.81;92.57;91.80;;92.45
04/30/2018;91.84;91.53;91.92;91.48;;91.84
